NAME1,NAME2
3XMM J004439.6-653905,HD 4308 b
3XMM J013647.5+412414,upsilon And b
3XMM J013647.5+412414,upsilon And c
3XMM J013647.5+412414,upsilon And d
3XMM J023657.8+243852,30 Ari B b
3XMM J024233.9-504758,iota Hor b
3XMM J024944.2+714522,HD 17156 b
3XMM J033254.7-092729,epsilon Eri b
3XMM J051146.1+042435,HD 33636 b
3XMM J054717.0-510401,beta Pic b
3XMM J055404.0-600124,HD 40307 c
3XMM J055404.0-600124,HD 40307 d
3XMM J055404.0-600124,HD 40307 b
3XMM J063312.1+052753,HD 46375 b
3XMM J065130.5+405202,HD 49674 b
3XMM J065442.8+241446,HD 50554 b
3XMM J070018.0-052201,HD 52265 b
3XMM J074518.8+280134,beta Gem b
3XMM J074806.3+501332,XO-2 b
3XMM J074807.9+501306,XO-2S c
3XMM J074807.9+501306,XO-2S b
3XMM J075905.6+152328,GJ 3470 b
3XMM J082127.8-394217,HD 70642 b
3XMM J084058.8-232714,GJ 317 b
3XMM J084211.1+191639,Pr 211 b
3XMM J084742.2-414409,HD 75289 b
3XMM J085235.4+281948,55 Cnc e
3XMM J085235.4+281948,55 Cnc f
3XMM J085235.4+281948,55 Cnc b
3XMM J085235.4+281948,55 Cnc d
3XMM J085235.4+281948,55 Cnc c
3XMM J095107.6-433017,HD 85512 b
3XMM J095340.1-453932,WASP-19 b
3XMM J101937.9-094822,WASP-43 b
3XMM J104420.7-333437,HD 93083 b
3XMM J111433.0+254238,HD 97658 b
3XMM J114211.7+264216,GJ 436 b
3XMM J114542.1+024916,HD 102195 b
3XMM J121913.4-031904,HD 107148 b
3XMM J122545.9-640119,HD 108147 b
3XMM J134715.4+172725,tau Boo b
3XMM J143937.7-605005,alpha Cen B b
3XMM J144732.6-001653,HD 130322 b
3XMM J154937.6-495800,HD 330075 b
3XMM J155735.4+265239,epsilon CrB b
3XMM J161024.4+434901,14 Her b
3XMM J162036.2+410253,HAT-P-2 b
3XMM J163029.5+382050,HD 149026 b
3XMM J170236.4+470502,HD 154345 b
3XMM J171519.4+045737,GJ 1214 b
3XMM J172840.4-465350,GJ 674 b
3XMM J174408.7-515004,mu Ara b
3XMM J174408.7-515004,mu Ara e
3XMM J174408.7-515004,mu Ara c
3XMM J174408.7-515004,mu Ara d
3XMM J175038.3-401906,HD 162020 b
3XMM J190255.0+423916,Kepler-1542 d
3XMM J190255.0+423916,Kepler-1542 c
3XMM J190255.0+423916,Kepler-1542 e
3XMM J190255.0+423916,Kepler-1542 b
3XMM J190329.4+424330,Kepler-1266 b
3XMM J191533.3-241046,HD 179949 b
3XMM J191654.3+493254,Kepler-63 b
3XMM J191705.6+442812,Kepler-1512 b
3XMM J191743.6+492840,Kepler-426 b
3XMM J191823.5+440816,Kepler-250 d
3XMM J191823.5+440816,Kepler-250 c
3XMM J191823.5+440816,Kepler-250 b
3XMM J192706.4+012301,CoRoT-2 b
3XMM J192908.6+431136,Kepler-435 b
3XMM J193718.7+460018,Kepler-326 d
3XMM J193718.7+460018,Kepler-326 b
3XMM J193718.7+460018,Kepler-326 c
3XMM J194609.3+445635,Kepler-1008 b
3XMM J195050.4+480454,HAT-P-11 b
3XMM J200043.6+224218,HD 189733 b
3XMM J201240.0-020840,WASP-80 b
3XMM J202818.7+184610,HD 195019 b
3XMM J213333.9-490044,GJ 832 b
3XMM J213333.9-490044,GJ 832 c
3XMM J220310.8+185304,HD 209458 b
3XMM J225317.3-141555,GJ 876 c
3XMM J225317.3-141555,GJ 876 e
3XMM J225317.3-141555,GJ 876 d
3XMM J225317.3-141555,GJ 876 b
3XMM J225338.0-483554,tau Gru b
3XMM J225440.2-700424,HD 216437 b
3XMM J225815.4-022401,HD 217107 c
3XMM J225815.4-022401,HD 217107 b
3XMM J230630.2-050235,TRAPPIST-1 c
3XMM J230630.2-050235,TRAPPIST-1 d
3XMM J230910.9-021538,HD 218566 b
